date,close
07-06-23,2193.75
08-06-23,2175
09-06-23,2175
12-06-23,2162.5
13-06-23,2175
14-06-23,2187.5
15-06-23,2250
16-06-23,2275
19-06-23,2093.75
20-06-23,2137.5
21-06-23,2212.5
22-06-23,2150
23-06-23,2175
26-06-23,2193.75
27-06-23,2156.25
03-07-23,2206.25
04-07-23,2243.75
05-07-23,2243.75
06-07-23,2262.5
07-07-23,2268.75
10-07-23,2243.75
11-07-23,2218.75
12-07-23,2250
13-07-23,2225
14-07-23,2268.75
17-07-23,2243.75
18-07-23,2218.75
20-07-23,2243.75
21-07-23,2243.75
24-07-23,2231.25
25-07-23,2137.5
26-07-23,2150
27-07-23,2187.5
28-07-23,2237.5
31-07-23,2300
01-08-23,2300
02-08-23,2243.75
03-08-23,2243.75
04-08-23,2206.25
07-08-23,2175
08-08-23,2250
09-08-23,2337.5
10-08-23,2325
11-08-23,2312.5
14-08-23,2306.25
15-08-23,2400
16-08-23,2437.5
18-08-23,2431.25
21-08-23,2412.5
22-08-23,2462.5
23-08-23,2468.75
24-08-23,2437.5
25-08-23,2437.5
28-08-23,2412.5
29-08-23,2406.25
30-08-23,2400
31-08-23,2400
01-09-23,2356.25
04-09-23,2318.75
05-09-23,2450
06-09-23,2431.25
07-09-23,2437.5
08-09-23,2462.5
11-09-23,2462.5
12-09-23,2456.25
13-09-23,2475
14-09-23,2475
15-09-23,2500
18-09-23,2462.5
19-09-23,2475
20-09-23,2462.5
21-09-23,2437.5
22-09-23,2493.75
25-09-23,2475
26-09-23,2437.5
27-09-23,2418.75
29-09-23,2456.25
02-10-23,2575
03-10-23,2600
04-10-23,2625
05-10-23,2600
06-10-23,2550
09-10-23,2625
10-10-23,2618.75
11-10-23,2625
12-10-23,2675
13-10-23,2631.25
16-10-23,2625
17-10-23,2537.5
18-10-23,2450
19-10-23,2475
20-10-23,2475
23-10-23,2418.75
24-10-23,2406.25
25-10-23,2350
26-10-23,2412.5
27-10-23,2462.5
30-10-23,2400
31-10-23,2362.5
01-11-23,2362.5
02-11-23,2300
03-11-23,2325
06-11-23,2381.25
07-11-23,2350
08-11-23,2300
09-11-23,2343.75
10-11-23,2293.75
13-11-23,2362.5
14-11-23,2325
15-11-23,2368.75
16-11-23,2325
17-11-23,2275
20-11-23,2275
21-11-23,2287.5
22-11-23,2275
23-11-23,2318.75
24-11-23,2275
27-11-23,2300
28-11-23,2287.5
29-11-23,2381.25
30-11-23,2381.25
01-12-23,2393.75
04-12-23,2325
05-12-23,2350
06-12-23,2325
07-12-23,2343.75
08-12-23,2356.25
11-12-23,2337.5
12-12-23,2418.75
13-12-23,2368.75
14-12-23,2387.5
15-12-23,2375
18-12-23,2337.5
19-12-23,2350
20-12-23,2350
21-12-23,2350
22-12-23,2350
27-12-23,2343.75
28-12-23,2337.5
29-12-23,2343.75
02-01-24,2343.75
03-01-24,2350
04-01-24,2356.25
05-01-24,2318.75
08-01-24,2331.25
09-01-24,2318.75
10-01-24,2375
11-01-24,2406.25
12-01-24,2431.25
15-01-24,2468.75
16-01-24,2475
17-01-24,2437.5
18-01-24,2500
19-01-24,2493.75
22-01-24,2425
23-01-24,2462.5
24-01-24,2487.5
25-01-24,2500
26-01-24,2487.5
29-01-24,2406.25
30-01-24,2362.5
31-01-24,2393.75
01-02-24,2393.75
02-02-24,2406.25
05-02-24,2387.5
06-02-24,2368.75
07-02-24,2375
12-02-24,2450
13-02-24,2450
15-02-24,2500
16-02-24,2450
19-02-24,2393.75
20-02-24,2412.5
21-02-24,2468.75
22-02-24,2668.75
23-02-24,2737.5
26-02-24,2662.5
27-02-24,2662.5
28-02-24,2793.75
29-02-24,2856.25
01-03-24,2875
04-03-24,2900
05-03-24,2893.75
06-03-24,2875
07-03-24,2912.5
08-03-24,2918.75
13-03-24,3012.5
14-03-24,3000
15-03-24,2937.5
18-03-24,2975
19-03-24,3012.5
20-03-24,2987.5
21-03-24,2887.5
22-03-24,2900
25-03-24,2906.25
26-03-24,2925
27-03-24,2812.5
28-03-24,2793.75
01-04-24,2768.75
02-04-24,2725
03-04-24,2725
04-04-24,2768.75
05-04-24,2812.5
16-04-24,2725
17-04-24,2650
18-04-24,2675
19-04-24,2650
22-04-24,2575
23-04-24,2725
24-04-24,2781.25
25-04-24,2800
26-04-24,2775
29-04-24,2800
30-04-24,2750
02-05-24,2725
03-05-24,2656.25
06-05-24,2681.25
07-05-24,2625
08-05-24,2625
13-05-24,2656.25
14-05-24,2725
15-05-24,2700
16-05-24,2712.5
17-05-24,2693.75
20-05-24,2600
21-05-24,2562.5
22-05-24,2518.75
27-05-24,2450
28-05-24,2625
29-05-24,2606.25
30-05-24,2543.75
31-05-24,2550
03-06-24,2550
04-06-24,2593.75
05-06-24,2562.5
06-06-24,2543.75
07-06-24,2593.75
10-06-24,2606.25
11-06-24,2606.25
12-06-24,2506.25
13-06-24,2543.75
14-06-24,2543.75
19-06-24,2518.75
20-06-24,2562.5
21-06-24,2606.25
24-06-24,2625
25-06-24,2587.5
26-06-24,2606.25
27-06-24,2587.5
28-06-24,2675
01-07-24,2625
02-07-24,2593.75
03-07-24,2618.75
04-07-24,2612.5
05-07-24,2612.5
08-07-24,2625
09-07-24,2643.75
10-07-24,2750
11-07-24,2875
12-07-24,2850
15-07-24,2856.25
16-07-24,2912.5
17-07-24,2900
18-07-24,2956.25
19-07-24,2875
22-07-24,2987.5
23-07-24,2912.5
24-07-24,2850
25-07-24,2875
26-07-24,2925
29-07-24,2925
30-07-24,2850
31-07-24,2775
01-08-24,2675
02-08-24,2587.5
05-08-24,2550
06-08-24,2650
07-08-24,2693.75
08-08-24,2581.25
09-08-24,2550
12-08-24,2668.75
13-08-24,2750
14-08-24,2887.5
15-08-24,2800
16-08-24,2800
19-08-24,2756.25
20-08-24,2800
21-08-24,2737.5
22-08-24,2650
23-08-24,2650
26-08-24,2687.5
27-08-24,2681.25
28-08-24,2662.5
29-08-24,2587.5
30-08-24,2593.75
02-09-24,2587.5
03-09-24,2562.5
04-09-24,2693.75
05-09-24,2737.5
06-09-24,2725
09-09-24,2725
10-09-24,2737.5
11-09-24,2706.25
12-09-24,2718.75
13-09-24,2718.75
17-09-24,2706.25
18-09-24,2668.75
19-09-24,2662.5
20-09-24,2662.5
23-09-24,2737.5
24-09-24,2743.75
25-09-24,2768.75
26-09-24,2825
27-09-24,2825
30-09-24,2737.5
01-10-24,2725
02-10-24,2612.5
03-10-24,2637.5
04-10-24,2656.25
07-10-24,2675
08-10-24,2650
09-10-24,2487.5
10-10-24,2550
11-10-24,2600
14-10-24,2540
15-10-24,2490
16-10-24,2460
17-10-24,2410
18-10-24,2450
21-10-24,2470
22-10-24,2420
23-10-24,2470
24-10-24,2440
25-10-24,2300
28-10-24,2190
29-10-24,2320
30-10-24,2320
31-10-24,2500
01-11-24,2430
04-11-24,2410
05-11-24,2390
06-11-24,2250
07-11-24,2290
08-11-24,2180
11-11-24,2140
12-11-24,2200
13-11-24,2200
14-11-24,2240
15-11-24,2260
18-11-24,2240
19-11-24,2450
20-11-24,2380
21-11-24,2500
22-11-24,2440
25-11-24,2500
26-11-24,2440
28-11-24,2370
29-11-24,2400
02-12-24,2380
03-12-24,2510
04-12-24,2560
05-12-24,2530
06-12-24,2500
09-12-24,2480
10-12-24,2470
11-12-24,2480
12-12-24,2520
13-12-24,2630
16-12-24,2590
17-12-24,2550
18-12-24,2430
19-12-24,2380
20-12-24,2370
23-12-24,2480
24-12-24,2440
27-12-24,2460
30-12-24,2480
02-01-25,2380
03-01-25,2390
06-01-25,2350
07-01-25,2340
08-01-25,2340
09-01-25,2390
10-01-25,2380
13-01-25,2390
14-01-25,2360
15-01-25,2380
16-01-25,2350
17-01-25,2280
20-01-25,2250
21-01-25,2290
22-01-25,2300
23-01-25,2330
24-01-25,2330
30-01-25,2290
31-01-25,2310
03-02-25,2240
04-02-25,2250
05-02-25,2230
06-02-25,2190
07-02-25,2220
10-02-25,1920
11-02-25,1625
12-02-25,1740
13-02-25,1735
14-02-25,1705
17-02-25,1740
18-02-25,1730
19-02-25,1700
20-02-25,1755
21-02-25,1730
